
====== Step 1 ======
[GPU 0] Task=copy_batch           | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775005441.479209 | Wall=11.23 ms | CUDA=11.17 ms | ExecWall=11.23 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=501.99 MB | MaxMem=10157.09 MB | GpuUtil=69% | Power=110.72/300.00W
[GPU 0] Task=copy_batch           | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775005441.513004 | Wall=10.70 ms | CUDA=10.66 ms | ExecWall=10.70 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=575.99 MB | MaxMem=10157.09 MB | GpuUtil=69% | Power=110.72/300.00W
[GPU 0] Task=copy_model           | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775005441.534898 | Wall=1.35 ms | CUDA=1.26 ms | ExecWall=1.35 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=568.33 MB | MaxMem=10157.09 MB | GpuUtil=69% | Power=110.72/300.00W
[GPU 0] Task=copy_model           | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775005441.679986 | Wall=205.36 ms | CUDA=22.30 ms | ExecWall=205.36 ms | QWait=0.00 ms | SyncWait=20.72 ms | InjectedSleep=0.00 ms | Mem=666.83 MB | MaxMem=10157.09 MB | GpuUtil=83% | Power=157.55/300.00W
[GPU 0] Task=compute_forward      | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775005441.536489 | Wall=349.63 ms | CUDA=349.60 ms | ExecWall=349.63 ms | QWait=0.00 ms | SyncWait=344.22 ms | InjectedSleep=0.00 ms | Mem=592.83 MB | MaxMem=10157.09 MB | GpuUtil=83% | Power=157.55/300.00W
[GPU 0] Task=compute_forward      | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775005441.899931 | Wall=68.60 ms | CUDA=68.56 ms | ExecWall=68.59 ms | QWait=0.01 ms | SyncWait=62.90 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=83% | Power=175.12/300.00W
[GPU 0] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775005441.974588 | Wall=1.35 ms | CUDA=1.28 ms | ExecWall=1.34 ms | QWait=0.01 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=83% | Power=175.12/300.00W
[GPU 0] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775005442.108596 | Wall=1.15 ms | CUDA=1.11 ms | ExecWall=1.15 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9706.39 MB | MaxMem=10157.09 MB | GpuUtil=93% | Power=197.45/300.00W
[GPU 0] Task=copy_grad            | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775005441.534953 | Wall=1998.87 ms | CUDA=1998.79 ms | ExecWall=0.38 ms | QWait=1998.49 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9706.39 MB | MaxMem=10157.09 MB | GpuUtil=19% | Power=103.12/300.00W
[GPU 0] Task=compute_backward     | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775005441.974623 | Wall=1691.38 ms | CUDA=1691.28 ms | ExecWall=1691.38 ms | QWait=0.00 ms | SyncWait=120.89 ms | InjectedSleep=0.00 ms | Mem=501.99 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=103.18/300.00W
[GPU 0] Task=compute_optimize     | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775005443.698900 | Wall=5.12 ms | CUDA=5.07 ms | ExecWall=5.12 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=494.33 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=114.62/300.00W

====== Step 5 ======
[GPU 0] Task=copy_batch           | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1775005443.660901 | Wall=13.66 ms | CUDA=13.59 ms | ExecWall=13.66 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=501.99 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=103.18/300.00W
[GPU 0] Task=copy_model           | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1775005443.716025 | Wall=4.25 ms | CUDA=4.19 ms | ExecWall=4.25 ms | QWait=0.00 ms | SyncWait=0.19 ms | InjectedSleep=0.00 ms | Mem=568.33 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=114.62/300.00W
[GPU 0] Task=copy_batch           | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775005443.715802 | Wall=346.98 ms | CUDA=12.74 ms | ExecWall=346.98 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=666.83 MB | MaxMem=10157.09 MB | GpuUtil=91% | Power=185.73/300.00W
[GPU 0] Task=compute_forward      | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1775005443.720918 | Wall=342.86 ms | CUDA=342.83 ms | ExecWall=342.86 ms | QWait=0.00 ms | SyncWait=336.68 ms | InjectedSleep=0.00 ms | Mem=592.83 MB | MaxMem=10157.09 MB | GpuUtil=91% | Power=185.73/300.00W
[GPU 0] Task=copy_model           | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775005444.063204 | Wall=2.81 ms | CUDA=2.76 ms | ExecWall=2.81 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=592.83 MB | MaxMem=10157.09 MB | GpuUtil=91% | Power=185.73/300.00W
[GPU 0] Task=compute_forward      | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775005444.091625 | Wall=70.02 ms | CUDA=66.88 ms | ExecWall=70.02 ms | QWait=0.00 ms | SyncWait=57.40 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=91% | Power=190.10/300.00W
[GPU 0] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1775005444.165911 | Wall=0.99 ms | CUDA=0.93 ms | ExecWall=0.98 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9804.89 MB | MaxMem=10157.09 MB | GpuUtil=91% | Power=190.10/300.00W
[GPU 0] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775005444.299824 | Wall=1.02 ms | CUDA=0.99 ms | ExecWall=1.02 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9706.39 MB | MaxMem=10157.09 MB | GpuUtil=86% | Power=199.78/300.00W
[GPU 0] Task=copy_grad            | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775005444.091431 | Wall=1662.87 ms | CUDA=1662.80 ms | ExecWall=0.27 ms | QWait=1662.61 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=9706.39 MB | MaxMem=10157.09 MB | GpuUtil=17% | Power=103.21/300.00W
[GPU 0] Task=compute_backward     | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775005444.166126 | Wall=1715.79 ms | CUDA=1715.67 ms | ExecWall=1715.79 ms | QWait=0.00 ms | SyncWait=116.91 ms | InjectedSleep=0.00 ms | Mem=501.99 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=111.15/300.00W
[GPU 0] Task=compute_optimize     | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775005445.886218 | Wall=3.15 ms | CUDA=3.10 ms | ExecWall=3.15 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=494.33 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=111.15/300.00W

====== Step 6 ======
[GPU 0] Task=copy_batch           | Batch=6 UBatch=0 | Partition=0 Target=True | StartTime=1775005445.877578 | Wall=12.12 ms | CUDA=12.05 ms | ExecWall=12.12 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=494.33 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=111.15/300.00W
[GPU 0] Task=copy_model           | Batch=6 UBatch=0 | Partition=0 Target=True | StartTime=1775005445.892014 | Wall=1.29 ms | CUDA=1.24 ms | ExecWall=1.29 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=494.33 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=111.15/300.00W
[GPU 0] Task=copy_batch           | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1775005445.894025 | Wall=11.54 ms | CUDA=11.48 ms | ExecWall=11.54 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=568.33 MB | MaxMem=10157.09 MB | GpuUtil=100% | Power=111.15/300.00W
