
====== Step 1 ======
[GPU 0] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775109868.272445 | Wall=1.12 ms | CUDA=1.09 ms | ExecWall=1.11 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.31/300.00W
[GPU 0] Task=copy_grad            | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775109868.235561 | Wall=730.22 ms | CUDA=729.90 ms | ExecWall=0.00 ms | QWait=1422.55 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.37/300.00W
[GPU 0] Task=compute_backward     | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775109868.272321 | Wall=699.56 ms | CUDA=699.49 ms | ExecWall=699.56 ms | QWait=0.00 ms | SyncWait=4.55 ms | InjectedSleep=0.00 ms | Mem=109.15 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.37/300.00W
[GPU 0] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775109868.981940 | Wall=2.84 ms | CUDA=2.11 ms | ExecWall=2.84 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=127.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.37/300.00W

====== Step 4 ======
[GPU 0] Task=copy_batch           | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775109868.973505 | Wall=4.51 ms | CUDA=4.44 ms | ExecWall=4.51 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=127.53 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.37/300.00W
[GPU 0] Task=copy_model           | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775109868.984342 | Wall=4.51 ms | CUDA=4.21 ms | ExecWall=4.51 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.37/300.00W
[GPU 0] Task=copy_batch           | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775109868.984088 | Wall=4.50 ms | CUDA=4.43 ms | ExecWall=4.50 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.37/300.00W
[GPU 0] Task=compute_forward      | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775109868.991759 | Wall=21.18 ms | CUDA=21.06 ms | ExecWall=21.18 ms | QWait=0.00 ms | SyncWait=18.50 ms | InjectedSleep=0.00 ms | Mem=152.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.37/300.00W
[GPU 0] Task=copy_model           | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775109869.012484 | Wall=1.49 ms | CUDA=1.43 ms | ExecWall=1.49 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=152.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.37/300.00W
[GPU 0] Task=compute_forward      | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775109869.016220 | Wall=2.38 ms | CUDA=2.35 ms | ExecWall=2.38 ms | QWait=0.01 ms | SyncWait=1.28 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.37/300.00W
[GPU 0] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775109869.024097 | Wall=6.96 ms | CUDA=0.99 ms | ExecWall=6.95 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.37/300.00W
[GPU 0] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775109869.036885 | Wall=1.23 ms | CUDA=0.99 ms | ExecWall=1.23 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.37/300.00W
[GPU 0] Task=copy_grad            | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775109869.012709 | Wall=747.87 ms | CUDA=747.80 ms | ExecWall=0.17 ms | QWait=747.70 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.41/300.00W
[GPU 0] Task=compute_backward     | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775109869.024043 | Wall=743.25 ms | CUDA=743.21 ms | ExecWall=5.93 ms | QWait=737.32 ms | SyncWait=4.64 ms | InjectedSleep=0.00 ms | Mem=109.15 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.41/300.00W
[GPU 0] Task=compute_optimize     | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775109869.772969 | Wall=1.48 ms | CUDA=1.41 ms | ExecWall=1.48 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=127.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.41/300.00W

====== Step 5 ======
[GPU 0] Task=copy_batch           | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1775109869.768655 | Wall=1.48 ms | CUDA=1.37 ms | ExecWall=1.48 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=127.53 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.41/300.00W
[GPU 0] Task=copy_model           | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1775109869.775717 | Wall=0.81 ms | CUDA=0.70 ms | ExecWall=0.81 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=127.49 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.41/300.00W
[GPU 0] Task=copy_batch           | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775109869.777031 | Wall=2.08 ms | CUDA=2.04 ms | ExecWall=2.08 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.41/300.00W
[GPU 0] Task=compute_forward      | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1775109869.780096 | Wall=20.78 ms | CUDA=20.75 ms | ExecWall=20.78 ms | QWait=0.00 ms | SyncWait=18.61 ms | InjectedSleep=0.00 ms | Mem=152.12 MB | MaxMem=586.79 MB | GpuUtil=0% | Power=32.41/300.00W
