
====== Step 1 ======
[GPU 0] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=0 Target=True | StartTime=1774886768.128767 | Wall=5.10 ms | CUDA=1.16 ms | ExecWall=5.10 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1255.86 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=216.00/300.00W
[GPU 0] Task=copy_batch_out       | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.139891 | Wall=1.77 ms | CUDA=1.38 ms | ExecWall=1.76 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1231.24 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=216.00/300.00W
[GPU 0] Task=copy_grad            | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.080619 | Wall=683.03 ms | CUDA=682.99 ms | ExecWall=1.76 ms | QWait=681.27 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1231.24 MB | MaxMem=1462.80 MB | GpuUtil=42% | Power=218.28/300.00W
[GPU 0] Task=compute_backward     | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.128681 | Wall=655.98 ms | CUDA=655.94 ms | ExecWall=655.98 ms | QWait=0.00 ms | SyncWait=16.11 ms | InjectedSleep=0.00 ms | Mem=159.44 MB | MaxMem=1462.80 MB | GpuUtil=42% | Power=218.28/300.00W
[GPU 0] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.797678 | Wall=7.24 ms | CUDA=5.84 ms | ExecWall=7.24 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=195.60 MB | MaxMem=1462.80 MB | GpuUtil=42% | Power=218.28/300.00W

====== Step 4 ======
[GPU 0] Task=copy_batch           | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1774886768.788256 | Wall=1.74 ms | CUDA=0.00 ms | ExecWall=1.74 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=177.82 MB | MaxMem=1462.80 MB | GpuUtil=42% | Power=218.28/300.00W
[GPU 0] Task=copy_batch           | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.793340 | Wall=2.15 ms | CUDA=1.90 ms | ExecWall=2.15 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=196.19 MB | MaxMem=1462.80 MB | GpuUtil=42% | Power=218.28/300.00W
[GPU 0] Task=copy_model           | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1774886768.799631 | Wall=3.42 ms | CUDA=2.02 ms | ExecWall=3.42 ms | QWait=0.00 ms | SyncWait=0.78 ms | InjectedSleep=0.00 ms | Mem=195.60 MB | MaxMem=1462.80 MB | GpuUtil=42% | Power=218.28/300.00W
[GPU 0] Task=copy_model           | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.831356 | Wall=22.58 ms | CUDA=4.98 ms | ExecWall=22.58 ms | QWait=0.00 ms | SyncWait=4.46 ms | InjectedSleep=0.00 ms | Mem=220.23 MB | MaxMem=1462.80 MB | GpuUtil=42% | Power=215.90/300.00W
[GPU 0] Task=compute_forward      | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1774886768.808724 | Wall=45.76 ms | CUDA=44.26 ms | ExecWall=45.76 ms | QWait=0.00 ms | SyncWait=42.87 ms | InjectedSleep=0.00 ms | Mem=201.85 MB | MaxMem=1462.80 MB | GpuUtil=42% | Power=215.90/300.00W
[GPU 0] Task=compute_forward      | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.858078 | Wall=7.54 ms | CUDA=7.51 ms | ExecWall=7.54 ms | QWait=0.00 ms | SyncWait=5.36 ms | InjectedSleep=0.00 ms | Mem=1255.86 MB | MaxMem=1462.80 MB | GpuUtil=42% | Power=215.90/300.00W
[GPU 0] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1774886768.867982 | Wall=4.99 ms | CUDA=4.79 ms | ExecWall=4.98 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1255.86 MB | MaxMem=1462.80 MB | GpuUtil=42% | Power=215.90/300.00W
[GPU 0] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.875669 | Wall=1.03 ms | CUDA=0.89 ms | ExecWall=1.02 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1231.24 MB | MaxMem=1462.80 MB | GpuUtil=42% | Power=215.90/300.00W
[GPU 0] Task=copy_grad            | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.801026 | Wall=676.19 ms | CUDA=676.02 ms | ExecWall=0.12 ms | QWait=676.08 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1231.24 MB | MaxMem=1462.80 MB | GpuUtil=45% | Power=215.88/300.00W
[GPU 0] Task=compute_backward     | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774886768.867907 | Wall=627.96 ms | CUDA=627.92 ms | ExecWall=627.96 ms | QWait=0.00 ms | SyncWait=14.07 ms | InjectedSleep=0.00 ms | Mem=177.82 MB | MaxMem=1462.80 MB | GpuUtil=45% | Power=215.88/300.00W
[GPU 0] Task=compute_optimize     | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1774886769.498568 | Wall=3.14 ms | CUDA=2.09 ms | ExecWall=3.14 ms | QWait=0.00 ms | SyncWait=0.12 ms | InjectedSleep=0.00 ms | Mem=177.23 MB | MaxMem=1462.80 MB | GpuUtil=45% | Power=215.88/300.00W

====== Step 5 ======
[GPU 0] Task=copy_batch           | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1774886769.493971 | Wall=3.78 ms | CUDA=1.88 ms | ExecWall=3.78 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=177.82 MB | MaxMem=1462.80 MB | GpuUtil=45% | Power=215.88/300.00W
[GPU 0] Task=copy_model           | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1774886769.504181 | Wall=1.22 ms | CUDA=0.00 ms | ExecWall=1.22 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=177.23 MB | MaxMem=1462.80 MB | GpuUtil=45% | Power=215.88/300.00W
[GPU 0] Task=copy_model           | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774886769.523344 | Wall=29.80 ms | CUDA=2.86 ms | ExecWall=29.80 ms | QWait=0.00 ms | SyncWait=0.27 ms | InjectedSleep=0.00 ms | Mem=220.23 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=215.91/300.00W
[GPU 0] Task=copy_batch           | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774886769.517108 | Wall=37.27 ms | CUDA=5.40 ms | ExecWall=37.27 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=220.23 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=215.91/300.00W
[GPU 0] Task=compute_forward      | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1774886769.505374 | Wall=51.87 ms | CUDA=50.07 ms | ExecWall=51.87 ms | QWait=0.00 ms | SyncWait=44.98 ms | InjectedSleep=0.00 ms | Mem=201.85 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=215.91/300.00W
[GPU 0] Task=compute_forward      | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774886769.562671 | Wall=13.51 ms | CUDA=13.32 ms | ExecWall=13.50 ms | QWait=0.00 ms | SyncWait=9.63 ms | InjectedSleep=0.00 ms | Mem=1255.86 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=215.91/300.00W
[GPU 0] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1774886769.578948 | Wall=7.14 ms | CUDA=6.06 ms | ExecWall=7.14 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1255.86 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=215.91/300.00W
[GPU 0] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774886769.592891 | Wall=17.85 ms | CUDA=17.20 ms | ExecWall=17.84 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1133.24 MB | MaxMem=1462.80 MB | GpuUtil=54% | Power=215.91/300.00W
[GPU 0] Task=copy_grad            | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774886769.561029 | Wall=628.29 ms | CUDA=626.51 ms | ExecWall=0.00 ms | QWait=1229.03 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1231.24 MB | MaxMem=1462.80 MB | GpuUtil=48% | Power=216.68/300.00W
[GPU 0] Task=compute_backward     | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774886769.587999 | Wall=615.51 ms | CUDA=615.31 ms | ExecWall=615.51 ms | QWait=0.00 ms | SyncWait=11.24 ms | InjectedSleep=0.00 ms | Mem=177.82 MB | MaxMem=1462.80 MB | GpuUtil=48% | Power=216.68/300.00W
[GPU 0] Task=compute_optimize     | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.205913 | Wall=1.59 ms | CUDA=1.54 ms | ExecWall=1.59 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=177.23 MB | MaxMem=1462.80 MB | GpuUtil=48% | Power=216.68/300.00W

====== Step 6 ======
[GPU 0] Task=copy_batch           | Batch=6 UBatch=0 | Partition=0 Target=True | StartTime=1774886770.202163 | Wall=1.73 ms | CUDA=1.68 ms | ExecWall=1.73 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=177.82 MB | MaxMem=1462.80 MB | GpuUtil=48% | Power=216.68/300.00W
[GPU 0] Task=copy_batch           | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.207958 | Wall=1.25 ms | CUDA=1.21 ms | ExecWall=1.25 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=195.60 MB | MaxMem=1462.80 MB | GpuUtil=48% | Power=216.68/300.00W
[GPU 0] Task=copy_model           | Batch=6 UBatch=0 | Partition=0 Target=True | StartTime=1774886770.209491 | Wall=0.84 ms | CUDA=0.79 ms | ExecWall=0.84 ms | QWait=0.00 ms | SyncWait=0.02 ms | InjectedSleep=0.00 ms | Mem=195.60 MB | MaxMem=1462.80 MB | GpuUtil=48% | Power=216.68/300.00W
[GPU 0] Task=copy_model           | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.231343 | Wall=17.73 ms | CUDA=5.76 ms | ExecWall=17.73 ms | QWait=0.00 ms | SyncWait=32.30 ms | InjectedSleep=0.00 ms | Mem=220.23 MB | MaxMem=1462.80 MB | GpuUtil=48% | Power=217.01/300.00W
[GPU 0] Task=compute_forward      | Batch=6 UBatch=0 | Partition=0 Target=True | StartTime=1774886770.211999 | Wall=38.86 ms | CUDA=38.80 ms | ExecWall=38.86 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=201.85 MB | MaxMem=1462.80 MB | GpuUtil=48% | Power=217.01/300.00W
[GPU 0] Task=compute_forward      | Batch=6 UBatch=0 | Partition=0 Target=False | StartTime=1774886770.254201 | Wall=13.75 ms | CUDA=13.42 ms | ExecWall=13.75 ms | QWait=0.00 ms | SyncWait=9.90 ms | InjectedSleep=0.00 ms | Mem=1255.86 MB | MaxMem=1462.80 MB | GpuUtil=48% | Power=217.01/300.00W
[GPU 0] Task=copy_batch_out       | Batch=6 UBatch=0 | Partition=0 Target=True | StartTime=1774886770.271349 | Wall=6.54 ms | CUDA=1.93 ms | ExecWall=6.53 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=1231.24 MB | MaxMem=1462.80 MB | GpuUtil=48% | Power=217.01/300.00W
