
====== Step 1 ======
[GPU 2] Task=copy_batch           | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1775004457.601107 | Wall=249.61 ms | CUDA=249.46 ms | ExecWall=0.16 ms | QWait=249.44 ms | SyncWait=252.33 ms | InjectedSleep=0.00 ms | Mem=882.78 MB | MaxMem=5341.46 MB | GpuUtil=65% | Power=159.63/300.00W
[GPU 2] Task=compute_forward      | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1775004457.876131 | Wall=43.90 ms | CUDA=43.86 ms | ExecWall=43.90 ms | QWait=0.00 ms | SyncWait=34.14 ms | InjectedSleep=0.00 ms | Mem=5193.96 MB | MaxMem=5341.46 MB | GpuUtil=65% | Power=152.86/300.00W
[GPU 2] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=2 Target=True | StartTime=1775004457.927512 | Wall=1.10 ms | CUDA=1.04 ms | ExecWall=1.10 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5193.96 MB | MaxMem=5341.46 MB | GpuUtil=65% | Power=152.86/300.00W
[GPU 2] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1775004457.934347 | Wall=24.11 ms | CUDA=24.08 ms | ExecWall=24.10 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5095.46 MB | MaxMem=5341.46 MB | GpuUtil=65% | Power=152.86/300.00W
[GPU 2] Task=copy_grad            | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1775004457.878355 | Wall=542.22 ms | CUDA=542.04 ms | ExecWall=0.00 ms | QWait=1034.30 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5095.46 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=141.90/300.00W
[GPU 2] Task=copy_grad_out        | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1775004456.515529 | Wall=1990.12 ms | CUDA=1990.06 ms | ExecWall=1.02 ms | QWait=1989.10 ms | SyncWait=76.41 ms | InjectedSleep=0.00 ms | Mem=1044.21 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=123.99/300.00W
[GPU 2] Task=compute_backward     | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1775004457.927777 | Wall=578.61 ms | CUDA=578.56 ms | ExecWall=578.61 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=750.21 MB | MaxMem=5341.46 MB | GpuUtil=0% | Power=123.99/300.00W
[GPU 2] Task=compute_optimize     | Batch=4 UBatch=0 | Partition=2 Target=False | StartTime=1775004458.510164 | Wall=71.16 ms | CUDA=71.12 ms | ExecWall=71.16 ms | QWait=0.00 ms | SyncWait=67.14 ms | InjectedSleep=0.00 ms | Mem=685.28 MB | MaxMem=5341.46 MB | GpuUtil=18% | Power=106.33/300.00W

====== Step 5 ======
[GPU 2] Task=copy_model           | Batch=5 UBatch=0 | Partition=2 Target=True | StartTime=1775004458.590041 | Wall=0.88 ms | CUDA=0.85 ms | ExecWall=0.88 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=685.28 MB | MaxMem=5341.46 MB | GpuUtil=18% | Power=106.33/300.00W
[GPU 2] Task=copy_model           | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1775004458.597231 | Wall=53.21 ms | CUDA=53.17 ms | ExecWall=53.21 ms | QWait=0.00 ms | SyncWait=51.18 ms | InjectedSleep=0.00 ms | Mem=685.28 MB | MaxMem=5341.46 MB | GpuUtil=18% | Power=106.33/300.00W
[GPU 2] Task=copy_batch           | Batch=5 UBatch=0 | Partition=2 Target=True | StartTime=1775004458.424480 | Wall=1238.64 ms | CUDA=1238.29 ms | ExecWall=0.00 ms | QWait=2309.70 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=587.78 MB | MaxMem=5341.46 MB | GpuUtil=86% | Power=173.24/300.00W
[GPU 2] Task=copy_batch           | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1775004459.673892 | Wall=70.55 ms | CUDA=70.44 ms | ExecWall=0.10 ms | QWait=70.45 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=784.28 MB | MaxMem=5341.46 MB | GpuUtil=86% | Power=173.24/300.00W
[GPU 2] Task=compute_forward      | Batch=5 UBatch=0 | Partition=2 Target=True | StartTime=1775004458.591220 | Wall=1333.52 ms | CUDA=1333.47 ms | ExecWall=1333.52 ms | QWait=0.00 ms | SyncWait=251.42 ms | InjectedSleep=0.00 ms | Mem=685.78 MB | MaxMem=5341.46 MB | GpuUtil=90% | Power=158.10/300.00W
[GPU 2] Task=compute_forward      | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1775004459.954611 | Wall=43.90 ms | CUDA=43.86 ms | ExecWall=43.89 ms | QWait=0.00 ms | SyncWait=36.33 ms | InjectedSleep=0.00 ms | Mem=5193.96 MB | MaxMem=5341.46 MB | GpuUtil=1% | Power=155.92/300.00W
[GPU 2] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=2 Target=True | StartTime=1775004460.005103 | Wall=1.07 ms | CUDA=1.03 ms | ExecWall=1.07 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5193.96 MB | MaxMem=5341.46 MB | GpuUtil=1% | Power=155.92/300.00W
[GPU 2] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=2 Target=False | StartTime=1775004460.011490 | Wall=19.88 ms | CUDA=19.76 ms | ExecWall=19.88 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=5095.46 MB | MaxMem=5341.46 MB | GpuUtil=1% | Power=155.92/300.00W
