
====== Step 1 ======
[GPU 0] Task=copy_grad            | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775098751.262609 | Wall=798.17 ms | CUDA=798.13 ms | ExecWall=0.14 ms | QWait=798.04 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=568.49 MB | GpuUtil=6.2% | Power=94.93/300.00W
[GPU 0] Task=compute_backward     | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775098751.296178 | Wall=773.59 ms | CUDA=773.56 ms | ExecWall=773.59 ms | QWait=0.00 ms | SyncWait=6.52 ms | InjectedSleep=0.00 ms | Mem=127.53 MB | MaxMem=568.49 MB | GpuUtil=6.5% | Power=95.03/300.00W
[GPU 0] Task=compute_optimize     | Batch=3 UBatch=0 | Partition=0 Target=False | StartTime=1775098752.072840 | Wall=4.23 ms | CUDA=1.67 ms | ExecWall=4.23 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.53/300.00W

====== Step 4 ======
[GPU 0] Task=copy_batch           | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775098752.067075 | Wall=1.33 ms | CUDA=1.16 ms | ExecWall=1.33 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=231.65 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.53/300.00W
[GPU 0] Task=copy_model           | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775098752.074616 | Wall=1.53 ms | CUDA=1.50 ms | ExecWall=1.53 ms | QWait=0.00 ms | SyncWait=0.04 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.53/300.00W
[GPU 0] Task=copy_batch           | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775098752.074417 | Wall=3.49 ms | CUDA=3.36 ms | ExecWall=3.49 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.53/300.00W
[GPU 0] Task=copy_model           | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775098752.079552 | Wall=0.56 ms | CUDA=0.52 ms | ExecWall=0.56 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.53/300.00W
[GPU 0] Task=compute_forward      | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775098752.089126 | Wall=20.38 ms | CUDA=20.35 ms | ExecWall=20.37 ms | QWait=0.00 ms | SyncWait=18.41 ms | InjectedSleep=0.00 ms | Mem=152.12 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.53/300.00W
[GPU 0] Task=compute_forward      | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775098752.112700 | Wall=2.23 ms | CUDA=2.20 ms | ExecWall=2.23 ms | QWait=0.00 ms | SyncWait=1.32 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.53/300.00W
[GPU 0] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=0 Target=True | StartTime=1775098752.119901 | Wall=1.16 ms | CUDA=0.95 ms | ExecWall=1.16 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.53/300.00W
[GPU 0] Task=copy_batch_out       | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775098752.126880 | Wall=1.23 ms | CUDA=1.17 ms | ExecWall=1.23 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.53/300.00W
[GPU 0] Task=copy_grad            | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775098752.082421 | Wall=868.09 ms | CUDA=868.04 ms | ExecWall=0.32 ms | QWait=867.78 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=568.49 MB | GpuUtil=5.4% | Power=94.37/300.00W
[GPU 0] Task=compute_backward     | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775098752.119929 | Wall=839.42 ms | CUDA=839.38 ms | ExecWall=839.42 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=127.53 MB | MaxMem=568.49 MB | GpuUtil=5.6% | Power=94.44/300.00W
[GPU 0] Task=compute_optimize     | Batch=4 UBatch=0 | Partition=0 Target=False | StartTime=1775098752.966538 | Wall=1.15 ms | CUDA=1.10 ms | ExecWall=1.15 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.01/300.00W

====== Step 5 ======
[GPU 0] Task=copy_batch           | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1775098752.956798 | Wall=1.39 ms | CUDA=1.27 ms | ExecWall=1.39 ms | QWait=0.00 ms | SyncWait=3.82 ms | InjectedSleep=0.00 ms | Mem=231.65 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.01/300.00W
[GPU 0] Task=copy_batch           | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775098752.962472 | Wall=1.27 ms | CUDA=1.23 ms | ExecWall=1.27 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.90 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.01/300.00W
[GPU 0] Task=copy_model           | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1775098752.968607 | Wall=0.69 ms | CUDA=0.64 ms | ExecWall=0.69 ms | QWait=0.00 ms | SyncWait=0.01 ms | InjectedSleep=0.00 ms | Mem=145.87 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.01/300.00W
[GPU 0] Task=compute_forward      | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1775098752.972261 | Wall=21.63 ms | CUDA=21.59 ms | ExecWall=21.63 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=152.12 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.01/300.00W
[GPU 0] Task=copy_model           | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775098752.992384 | Wall=0.78 ms | CUDA=0.66 ms | ExecWall=0.78 ms | QWait=0.00 ms | SyncWait=18.87 ms | InjectedSleep=0.00 ms | Mem=195.12 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.01/300.00W
[GPU 0] Task=compute_forward      | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775098752.997161 | Wall=2.32 ms | CUDA=2.29 ms | ExecWall=2.32 ms | QWait=0.00 ms | SyncWait=1.29 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.01/300.00W
[GPU 0] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=0 Target=True | StartTime=1775098753.002184 | Wall=1.23 ms | CUDA=0.99 ms | ExecWall=1.23 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=446.12 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.01/300.00W
[GPU 0] Task=copy_batch_out       | Batch=5 UBatch=0 | Partition=0 Target=False | StartTime=1775098753.008933 | Wall=1.10 ms | CUDA=1.07 ms | ExecWall=1.10 ms | QWait=0.00 ms | SyncWait=0.00 ms | InjectedSleep=0.00 ms | Mem=421.49 MB | MaxMem=568.49 MB | GpuUtil=0.0% | Power=92.01/300.00W
